CountryName,CountryCode,IndicatorName,IndicatorCode,1999,2000,D2001,D2002,D2003,D2004,D2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,D2017,2018,D2019
Advanced Economies,AME,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,1.514661749,1.543573389,1.954708552,3.091771501,2.641964091,2.894474876,2.510726746,0.073874569,-3.512480113,2.885901847,1.601398068,1.098091285,1.287309925,1.861640092,2.108639596,1.682409738,1.9183667,1.84582501,1.692015562
BRICs,BRC,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,5.090155349,5.972054178,6.649003963,8.028155804,8.096421472,9.305872364,10.68949493,7.331015572,3.810166391,8.966969762,7.220371971,5.723187327,5.741881388,5.12921725,3.913264036,4.244591596,5.026371133,5.225972749,5.412027444
Developing Countries,DEV,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,3.439044954,4.450395101,5.554864489,7.659438794,7.141757945,8.062497779,8.718314934,5.875406236,2.125142183,7.634874433,6.380929403,4.950757193,5.081518234,4.432438462,3.57311662,3.600678585,4.294721682,4.658336445,4.866666489
EMDE Commodity Exporters,EDE,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,2.588319358,2.577321972,4.666251891,7.279761472,5.645283408,6.447265668,6.762429522,5.046220541,-1.078735377,5.800935842,5.139226607,3.400117947,3.241565553,2.158579153,0.329067878,0.419429612,1.804199222,2.681252745,2.954550299
EMDE Commodity Importers,EDI,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,3.826021955,5.723011876,6.781597504,7.954176255,8.260635955,9.288399431,9.775411132,6.439989979,4.467559497,8.605047015,7.482649048,6.111151998,6.204381461,6.006541537,6.042036795,5.668970874,5.658710705,5.665431277,5.799179231
EMDE Commodity Importers excl. China,EDX,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,1.204357616,3.604316775,4.650503187,6.468801833,6.027877077,6.72116223,6.25394171,3.709142723,0.036686642,6.60980144,5.388797666,4.261968217,4.501770447,4.54712954,5.030206236,4.464234853,4.630801179,4.914141026,5.117389133
EMDE EAP excl. China,EAO,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,3.244627434,5.054761555,5.683522917,6.031662644,5.417786536,5.556695407,6.312283221,4.691386865,2.241161308,6.892970168,4.779097162,6.257672194,5.126985678,4.663652278,4.849022649,4.889638655,5.050847639,5.166807058,5.26607661
EMDE East Asia and Pacific (EAP),EAA,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,6.713382179,7.871825591,8.72658239,8.91851426,9.694358086,10.76034063,12.1671261,8.42816609,7.692139693,9.788422504,8.487435745,7.515822795,7.203973804,6.754034061,6.496441523,6.330572612,6.224164968,6.061466334,6.139030281
EMDE ECA Central Asia,CAC,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,11.4911826,8.617260301,8.652376822,9.442549393,9.064107454,9.870940651,9.166681558,5.088501127,2.799210021,7.435817585,7.99223862,5.791361706,6.805773958,5.436192047,3.097081726,2.989143379,3.930347844,4.149176605,4.451629663
EMDE ECA Central Europe,EHE,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,2.723371523,3.478615567,4.211284221,5.690901679,4.029010755,6.067786642,5.751104512,4.501016029,-1.806109263,1.809298243,3.259357639,0.624406227,1.703876594,3.021336309,3.664077138,3.10753831,3.516516915,3.319638255,3.192707245
EMDE ECA Eastern Europe,EUO,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,8.099741363,5.2782479,8.89078789,11.83145302,4.489827059,7.937008545,7.695523279,4.264266703,-10.88517326,4.995675927,5.526788963,0.629039705,0.56274015,-3.831927821,-7.694174146,0.830779197,1.350534113,2.614678346,3.163294531
EMDE ECA South Caucasus,SCC,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,8.477958003,9.750813521,11.70043095,9.181444549,19.9450054,25.0783402,20.73268742,8.659332413,3.550770436,4.730454516,1.775816843,3.534969261,5.051776261,2.650866451,1.660128512,-2.136221745,0.05509838,1.592576776,2.217137273
EMDE ECA Western Balkans,WBK,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,4.45038154,5.13200646,4.042723465,6.903641118,5.115080707,6.045767222,7.054114269,5.409892218,-1.609500248,1.723294885,1.897799944,-0.387073199,2.412916317,0.362891084,2.231786206,2.856905084,3.168093778,3.538521413,3.688078329
EMDE Europe and Central Asia (ECA),ECH,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,2.557276621,5.001215129,6.337881507,7.660713061,6.48611633,7.695740358,7.316336906,4.199998547,-5.176129327,4.766024525,5.487751698,3.040857314,3.290408571,2.316278547,0.965788622,1.535565963,2.53532414,2.735404039,2.822693595
EMDE Europe and Central Asia Commodity Exporters,ECE,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,5.709568773,5.65215943,5.830428689,8.037971159,786.4719266,8.63711363,8.825487285,5.146398825,-6.952078298,4.739042448,4.432489289,3.5077224,1.908120766,0.83899955,-2.377091962,0.22816572,1.652136491,1.89274031,1.988757206
EMDE Europe and Central Asia Commodity Importers,EEE,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,2.44958048,4.985331701,6.321382411,7.612728022,-48.03997155,6.639224447,5.590864829,3.08479395,-3.041561445,4.797088524,6.704333908,2.51410688,4.865120444,3.951749676,4.55581753,2.846525184,3.39836979,3.544943271,3.611105752
EMDE LAC Caribbean,LNI,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,1.747243951,4.283202299,3.131243731,2.567577336,5.650420149,7.912143205,5.450915715,2.087496339,-1.250684813,3.94657958,2.180066652,2.073769098,3.184661551,3.867983235,3.447520439,2.520443943,3.318555683,3.788942176,3.695132867
EMDE LAC Central America,LNA,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,-0.294544948,0.448870055,1.640307565,4.300240774,3.154515286,5.087638594,3.700291535,1.744293696,-4.201452686,4.94114182,4.223806001,4.116686319,1.661423704,2.498150229,2.865468389,2.512721738,2.108640349,2.409584321,2.734692899
EMDE LAC South America,LNS,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,1.018090761,0.116233276,1.492988088,7.286580758,4.992253034,5.485200106,6.713119986,4.98747874,-0.982833696,6.410101473,4.725125679,2.531046296,3.219359877,0.34340648,-2.084023426,-2.890944923,0.267656476,1.937170016,2.347546556
EMDE Latin America and Caribbean (LAC),LAP,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,0.687971729,0.300179792,1.571206222,6.387530417,4.535326086,5.442376527,5.920360571,4.113910096,-1.767939268,6.004350328,4.548070811,2.889725633,2.851506818,0.92597519,-0.782877394,-1.432785814,0.815209883,2.107743535,2.483717257
EMDE Middle East and North Africa (MNA),MNH,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,1.611581434,2.264958066,6.998625836,7.700762224,5.337725255,6.166553289,4.838315378,4.64284608,0.989105658,4.823871474,5.970440661,2.724009627,2.376655903,3.352969888,2.78565717,3.159145339,2.139629452,2.853188393,3.100191047
EMDE MNA GCC countries,GCC,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,0.268040828,-0.104605449,9.86439227,8.848551135,5.91766365,6.759176025,4.036235646,5.917805331,-1.818321791,4.596399289,8.508125918,5.939410033,3.356937301,3.204140811,3.787544042,1.936973378,1.254156677,2.253017035,2.545933336
EMDE MNA Oil exporters,MOX,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,1.077972269,2.183535287,7.587275093,8.306063579,5.450260369,6.126622571,4.507384356,4.312363038,0.031045148,5.032588624,6.814865753,2.721922585,2.212687759,3.438727208,2.578875622,3.237660471,1.773721677,2.546833183,2.790966441
EMDE MNA Oil importers,MOM,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,3.911599279,2.606344562,4.540728573,5.099679542,4.839295413,6.344592929,6.309140628,6.08690431,5.105381876,3.970556668,2.482353036,2.732947125,3.082520131,2.986726649,3.672346092,2.82588888,3.698167066,4.133972392,4.372955106
EMDE SAR excl. India,SAI,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,2.887340936,4.474352578,6.104314437,6.853188664,6.582118573,6.20063947,4.698203389,4.010009264,4.197357185,4.759530881,5.083901398,5.718356745,4.852985089,5.319610154,5.547542811,5.750770266,5.718270988,5.839274423,5.96141151
EMDE South Asia Region (SAR),SAP,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,3.633917371,4.540734907,6.656108292,7.466545,8.441306012,8.609508597,8.805548931,5.705969849,4.850795652,9.59797356,6.624845082,5.609367367,6.026057138,6.657488724,6.895804825,6.724855335,6.822337329,7.109589765,7.318127667
EMDE SSA CFA countries,SFA,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,6.206488679,2.82403335,4.326576354,6.526252163,5.870569586,2.99492873,4.385136623,4.730019877,2.701367944,3.664493717,2.732476924,6.204564808,4.462185175,5.503708813,3.950849091,2.827409391,3.619730825,4.076432994,4.30369063
EMDE SSA excl. South Africa,SSA,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,5.359078465,5.918290402,5.992116312,7.799484512,7.157966302,7.146740094,8.052267821,6.600067066,5.406763472,7.614990525,4.76928898,5.115015718,5.766921182,5.676419731,3.711653767,1.645546392,3.185646608,3.872955215,3.98467883
EMDE SSA Oil exporters,SOX,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,6.514976447,9.008997584,7.986682301,9.495133821,8.224246315,7.980318698,9.188096873,7.999675212,5.973849272,8.10613704,4.467037902,4.513162882,5.31780132,5.411337314,2.857409329,-0.366437163,1.730743226,2.627482376,2.704904227
EMDE Sub-Saharan Africa (SSA),SSP,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,4.461755037,5.161291693,4.983066217,6.744340333,6.558880456,6.661265793,7.213590667,5.55638733,3.328152247,6.310113726,4.358701225,4.32118848,4.845709454,4.617477539,3.08970537,1.317587923,2.552307575,3.209094123,3.50795881
EMDE Sub-Saharan Africa excl. South Africa and Nigeria,SSO,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,,,,,,,,,,,,,,,,,,,
"EMDE Sub-Saharan Africa excl. South Africa, Nigeria, and Angola",SSS,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,4.461755037,5.161291693,4.983066217,6.744340333,-57.72747937,5.858769089,6.619464139,5.149855092,4.019290475,5.873812241,4.819299591,5.690092508,5.862220872,5.378517341,4.549849091,4.073101345,4.767041383,5.188313697,5.223619095
Emerging Markets and Developing Economies (EMDE),EMD,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,3.179661864,4.089666774,5.699199162,7.612458267,6.93956469,7.870662317,8.291730043,5.763388488,1.793224783,7.291124698,6.399878755,4.873274142,4.87058942,4.301185181,3.562186858,3.461351654,4.085436443,4.47409156,4.683038398
Euro Area,E19,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,2.130841314,0.96758003,0.665286201,2.299947381,1.671449514,3.231996444,3.014176003,0.421142215,-4.515705392,2.087620364,1.548735308,-0.908789134,-0.256666076,1.17501004,2.048186302,1.75534674,1.7015805,1.540410038,1.481590718
High Income Countries,HIY,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,1.497518372,1.523681179,2.13600329,3.234686989,2.740929682,3.003091931,2.576198583,0.245402416,-3.440617141,2.900790582,1.801608217,1.235105804,1.354138607,1.912349647,2.172896405,1.69983925,1.914937474,1.879706444,1.743169569
Low Income Countries,LIC,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,4.761891171,2.387363773,3.920471111,6.118793492,6.128767716,5.275729285,6.243749133,5.158277198,5.591436826,6.841145352,5.88468653,6.350629271,6.329908553,6.306674329,4.744613977,4.433875059,5.432162668,5.801502962,5.840079894
World (WBG members),WLT,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,1.942238942,2.205354742,2.945921374,4.320458134,3.846877495,4.331192715,4.236450697,1.838330597,-1.803603294,4.356689748,3.248552291,2.433550042,2.585045066,2.764850186,2.654842167,2.356795083,2.748754028,2.8660375,2.871188625
Afghanistan,AFG,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,20.06407524,16.71113962,14.31837584,9.438757536,14.51571611,11.18704254,11.13201429,3.4,20.4,8.4,6.1,14.4,2,1.3,1.1,2.2,2.6,3.4,3.1
Albania,ALB,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,7.940331421,4.231371012,5.77349057,5.709556581,5.720819953,5.431012734,5.900000009,7.529999989,3.350000009,3.709999994,2.550000005,1.419999998,1.109999993,1.799999998,2.6,3.2,3.5,3.5,3.8
